NAME,ADDRESS,CONTACT,EMAIL ID,D.O.B
AIT,Sector-1,0101010101,AIT@gmail.com,20/12/2000
BIT,Sector-2,0101010101,BIT@gmail.com,20/12/2000
CIT,Sector-3,0101010101,CIT@gmail.com,20/12/2000
DIT,Sector-4,0101010101,DIT@gmail.com,20/12/2000
EIT,Sector-5,0101010101,EIT@gmail.com,20/12.2000
FIT,Sector-6,0101010101,FIT@gmail.com,20/12.2000
GIT,Sector-7,0101010101,GIT@gmail.com,20/12.2000
HIT,Sector-8,0101010101,HIT@gmail.com,20/12.2000
IIT,HSector-9,0101010101,FIT@gmail.com,20/12/2000
JIT,Sector-10,0101010101,JIT@gmail.com,20/12.2000
